stamp,x,y,d0,d1,d2,r0,r1,r2,a0.x,a0.y,a1.x,a1.y,a2.x,a2.y,raw
2020-05-25 16:35:03.950,46,159,76,261,128,0,0,0,0,0,0,200,200,0,b'\xff\x02\x00\x04\x00\x00\x00\x00\x00\x00.\x00\x9f\x00L\x01\x05\x00\x80\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaaU'
2020-05-25 16:35:05.943,46,159,76,261,128,0,0,0,0,0,0,200,200,0,b'\xff\x02\x00\x04\x00\x00\x00\x00\x00\x00.\x00\x9f\x00L\x01\x05\x00\x80\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaaU'
2020-05-25 16:35:07.943,46,159,76,261,128,0,0,0,0,0,0,200,200,0,b'\xff\x02\x00\x04\x00\x00\x00\x00\x00\x00.\x00\x9f\x00L\x01\x05\x00\x80\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaaU'
2020-05-25 16:35:09.943,46,159,76,261,128,0,0,0,0,0,0,200,200,0,b'\xff\x02\x00\x04\x00\x00\x00\x00\x00\x00.\x00\x9f\x00L\x01\x05\x00\x80\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaaU'
2020-05-25 16:35:11.944,46,159,76,261,128,0,0,0,0,0,0,200,200,0,b'\xff\x02\x00\x04\x00\x00\x00\x00\x00\x00.\x00\x9f\x00L\x01\x05\x00\x80\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaaU'
2020-05-25 16:35:13.944,46,159,76,261,128,0,0,0,0,0,0,200,200,0,b'\xff\x02\x00\x04\x00\x00\x00\x00\x00\x00.\x00\x9f\x00L\x01\x05\x00\x80\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaaU'
2020-05-25 16:35:15.945,46,159,76,261,128,0,0,0,0,0,0,200,200,0,b'\xff\x02\x00\x04\x00\x00\x00\x00\x00\x00.\x00\x9f\x00L\x01\x05\x00\x80\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaaU'
2020-05-25 16:35:17.943,46,159,76,261,128,0,0,0,0,0,0,200,200,0,b'\xff\x02\x00\x04\x00\x00\x00\x00\x00\x00.\x00\x9f\x00L\x01\x05\x00\x80\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaaU'
2020-05-25 16:35:19.943,46,159,76,261,128,0,0,0,0,0,0,200,200,0,b'\xff\x02\x00\x04\x00\x00\x00\x00\x00\x00.\x00\x9f\x00L\x01\x05\x00\x80\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaaU'
2020-05-25 16:35:21.943,46,159,76,261,128,0,0,0,0,0,0,200,200,0,b'\xff\x02\x00\x04\x00\x00\x00\x00\x00\x00.\x00\x9f\x00L\x01\x05\x00\x80\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaaU'
